date,description,amount,category,clean_description,month,day_of_week,year_month,category_encoded
2023-01-01,SWIGGY DELIVERY #3588,689.86,Food & Dining,swiggy delivery,1,6,2023-01,2
2023-01-01,LAB TEST #5930,1277.62,Health,lab test,1,6,2023-01,3
2023-01-01,MYNTRA FASHION #9837,7637.3,Shopping,myntra fashion,1,6,2023-01,4
2023-01-02,SWIGGY DELIVERY #8901,1006.12,Food & Dining,swiggy delivery,1,0,2023-01,2
2023-01-03,IRCTC TICKET #1960,354.34,Transport,irctc ticket,1,1,2023-01,5
2023-01-04,GROCERY STORE #8123,279.33,Food & Dining,grocery store,1,2,2023-01,2
2023-01-04,PHARMACY BILL #7487,837.93,Health,pharmacy bill,1,2,2023-01,3
2023-01-05,MYNTRA FASHION #6134,5149.09,Shopping,myntra fashion,1,3,2023-01,4
2023-01-05,MOBILE RECHARGE #8274,356.83,Bills & Utilities,mobile recharge,1,3,2023-01,0
2023-01-06,IKEA PURCHASE #1852,1453.76,Shopping,ikea purchase,1,4,2023-01,4
2023-01-06,DOCTOR CONSULTATION #8107,1649.69,Health,doctor consultation,1,4,2023-01,3
2023-01-06,GAS CYLINDER #8685,2298.15,Bills & Utilities,gas cylinder,1,4,2023-01,0
2023-01-06,DOCTOR CONSULTATION #8352,964.09,Health,doctor consultation,1,4,2023-01,3
2023-01-07,INDIGO AIRLINES #5557,1624.58,Transport,indigo airlines,1,5,2023-01,5
2023-01-07,NYKAA COSMETICS #9301,4489.95,Shopping,nykaa cosmetics,1,5,2023-01,4
2023-01-07,BOOKMYSHOW #4007,718.75,Entertainment,bookmyshow,1,5,2023-01,1
2023-01-07,PRACTO APPOINTMENT #4363,1260.91,Health,practo appointment,1,5,2023-01,3
2023-01-08,DTH RECHARGE #4698,1010.38,Bills & Utilities,dth recharge,1,6,2023-01,0
2023-01-08,MEESHO ORDER #1089,5731.36,Shopping,meesho order,1,6,2023-01,4
2023-01-08,DISNEY PLUS #4770,923.4,Entertainment,disney plus,1,6,2023-01,1
2023-01-09,EMI PAYMENT #6864,1995.08,Bills & Utilities,emi payment,1,0,2023-01,0
2023-01-09,LAB TEST #2120,1638.47,Health,lab test,1,0,2023-01,3
2023-01-09,BIGBASKET ORDER #8039,1465.84,Food & Dining,bigbasket order,1,0,2023-01,2
2023-01-09,EYE CLINIC #5444,253.95,Health,eye clinic,1,0,2023-01,3
2023-01-09,RELIANCE TRENDS #2415,4514.11,Shopping,reliance trends,1,0,2023-01,4
2023-01-10,HOTSTAR PREMIUM #7484,1204.59,Entertainment,hotstar premium,1,1,2023-01,1
2023-01-10,APPLE MUSIC #4639,248.33,Entertainment,apple music,1,1,2023-01,1
2023-01-10,RESTAURANT BILL #9872,552.31,Food & Dining,restaurant bill,1,1,2023-01,2
2023-01-10,DECATHLON SPORTS #1878,6951.07,Shopping,decathlon sports,1,1,2023-01,4
2023-01-10,INSURANCE PREMIUM #8798,374.96,Bills & Utilities,insurance premium,1,1,2023-01,0
2023-01-10,PHARMACY BILL #8807,112.41,Health,pharmacy bill,1,1,2023-01,3
2023-01-10,RAPIDO BIKE #3450,961.78,Transport,rapido bike,1,1,2023-01,5
2023-01-10,GAS CYLINDER #4366,3506.44,Bills & Utilities,gas cylinder,1,1,2023-01,0
2023-01-10,INDIGO AIRLINES #5161,935.35,Transport,indigo airlines,1,1,2023-01,5
2023-01-11,HOSPITAL BILL #1487,1383.48,Health,hospital bill,1,2,2023-01,3
2023-01-11,GROCERY STORE #9074,1222.1,Food & Dining,grocery store,1,2,2023-01,2
2023-01-12,NETFLIX SUBSCRIPTION #6628,848.58,Entertainment,netflix subscription,1,3,2023-01,1
2023-01-13,RELIANCE TRENDS #7616,7577.36,Shopping,reliance trends,1,4,2023-01,4
2023-01-13,AUTO RICKSHAW #1042,116.75,Transport,auto rickshaw,1,4,2023-01,5
2023-01-13,PETROL PUMP #5097,1639.98,Transport,petrol pump,1,4,2023-01,5
2023-01-14,KFC ORDER #6761,1243.81,Food & Dining,kfc order,1,5,2023-01,2
2023-01-14,INSURANCE PREMIUM #4808,2566.76,Bills & Utilities,insurance premium,1,5,2023-01,0
2023-01-14,NYKAA COSMETICS #2827,955.72,Shopping,nykaa cosmetics,1,5,2023-01,4
2023-01-15,BOOKMYSHOW #2479,1206.75,Entertainment,bookmyshow,1,6,2023-01,1
2023-01-15,WATER BILL #1273,2978.08,Bills & Utilities,water bill,1,6,2023-01,0
2023-01-16,MYNTRA FASHION #3580,2334.37,Shopping,myntra fashion,1,0,2023-01,4
2023-01-16,PHARMACY BILL #4814,361.57,Health,pharmacy bill,1,0,2023-01,3
2023-01-16,SUBWAY #2604,123.35,Food & Dining,subway,1,0,2023-01,2
2023-01-17,UBER TRIP #7162,1561.99,Transport,uber trip,1,1,2023-01,5
2023-01-17,MYNTRA FASHION #3200,290.5,Shopping,myntra fashion,1,1,2023-01,4
2023-01-17,CAFE COFFEE DAY #7116,417.79,Food & Dining,cafe coffee day,1,1,2023-01,2
2023-01-17,AMAZON ORDER #8916,5342.42,Shopping,amazon order,1,1,2023-01,4
2023-01-18,MEDICINE ORDER #2959,1182.29,Health,medicine order,1,2,2023-01,3
2023-01-19,MEESHO ORDER #4431,4543.28,Shopping,meesho order,1,3,2023-01,4
2023-01-19,DECATHLON SPORTS #7445,6006.25,Shopping,decathlon sports,1,3,2023-01,4
2023-01-19,INSURANCE PREMIUM #5287,2757.95,Bills & Utilities,insurance premium,1,3,2023-01,0
2023-01-20,ZOMATO ORDER #3319,758.9,Food & Dining,zomato order,1,4,2023-01,2
2023-01-20,AUTO RICKSHAW #7642,1210.73,Transport,auto rickshaw,1,4,2023-01,5
2023-01-20,SWIGGY DELIVERY #9713,310.63,Food & Dining,swiggy delivery,1,4,2023-01,2
2023-01-21,DENTAL CLINIC #4029,1275.46,Health,dental clinic,1,5,2023-01,3
2023-01-21,ZOMATO ORDER #4811,922.41,Food & Dining,zomato order,1,5,2023-01,2
2023-01-21,MEDICINE ORDER #5400,2701.39,Health,medicine order,1,5,2023-01,3
2023-01-22,RESTAURANT BILL #4681,142.84,Food & Dining,restaurant bill,1,6,2023-01,2
2023-01-22,LIFESTYLE STORE #8272,5954.13,Shopping,lifestyle store,1,6,2023-01,4
2023-01-22,WATER BILL #4475,3244.35,Bills & Utilities,water bill,1,6,2023-01,0
2023-01-22,SWIGGY DELIVERY #4750,1444.77,Food & Dining,swiggy delivery,1,6,2023-01,2
2023-01-23,BUS PASS #1317,329.73,Transport,bus pass,1,0,2023-01,5
2023-01-24,GAS CYLINDER #4346,2651.37,Bills & Utilities,gas cylinder,1,1,2023-01,0
2023-01-24,MOVIE TICKET #4143,1286.58,Entertainment,movie ticket,1,1,2023-01,1
2023-01-24,RENT PAYMENT #3741,1001.04,Bills & Utilities,rent payment,1,1,2023-01,0
2023-01-24,DENTAL CLINIC #5909,1045.63,Health,dental clinic,1,1,2023-01,3
2023-01-24,SPOTIFY PREMIUM #4648,1268.59,Entertainment,spotify premium,1,1,2023-01,1
2023-01-25,YOGA CLASS #4171,104.58,Health,yoga class,1,2,2023-01,3
2023-01-26,GYM MEMBERSHIP #3292,203.53,Health,gym membership,1,3,2023-01,3
2023-01-26,EMI PAYMENT #9199,838.65,Bills & Utilities,emi payment,1,3,2023-01,0
2023-01-26,RESTAURANT BILL #2517,693.47,Food & Dining,restaurant bill,1,3,2023-01,2
2023-01-27,GROCERY STORE #4705,1220.47,Food & Dining,grocery store,1,4,2023-01,2
2023-01-27,DISNEY PLUS #9395,670.67,Entertainment,disney plus,1,4,2023-01,1
2023-01-27,EMI PAYMENT #2659,1764.12,Bills & Utilities,emi payment,1,4,2023-01,0
2023-01-27,NYKAA COSMETICS #5089,7692.06,Shopping,nykaa cosmetics,1,4,2023-01,4
2023-01-27,PETROL PUMP #2749,289.15,Transport,petrol pump,1,4,2023-01,5
2023-01-28,APPLE MUSIC #5668,1190.34,Entertainment,apple music,1,5,2023-01,1
2023-01-28,BUS PASS #6715,1624.82,Transport,bus pass,1,5,2023-01,5
2023-01-28,RESTAURANT BILL #8391,1332.71,Food & Dining,restaurant bill,1,5,2023-01,2
2023-01-28,EMI PAYMENT #6040,4004.1,Bills & Utilities,emi payment,1,5,2023-01,0
2023-01-29,DECATHLON SPORTS #8548,7192.89,Shopping,decathlon sports,1,6,2023-01,4
2023-01-29,PETROL PUMP #2497,61.6,Transport,petrol pump,1,6,2023-01,5
2023-01-29,INTERNET BILL #2860,834.82,Bills & Utilities,internet bill,1,6,2023-01,0
2023-01-30,INTERNET BILL #5471,2235.6,Bills & Utilities,internet bill,1,0,2023-01,0
2023-01-30,PARKING FEE #7221,1564.95,Transport,parking fee,1,0,2023-01,5
2023-01-30,BIGBASKET ORDER #6592,624.27,Food & Dining,bigbasket order,1,0,2023-01,2
2023-01-30,UBER TRIP #2728,886.74,Transport,uber trip,1,0,2023-01,5
2023-01-30,GAS CYLINDER #9589,4408.73,Bills & Utilities,gas cylinder,1,0,2023-01,0
2023-01-31,YOGA CLASS #2934,2337.15,Health,yoga class,1,1,2023-01,3
2023-02-01,DOCTOR CONSULTATION #1305,2563.8,Health,doctor consultation,2,2,2023-02,3
2023-02-01,GYM MEMBERSHIP #7825,1892.51,Health,gym membership,2,2,2023-02,3
2023-02-01,MEDICINE ORDER #9006,585.04,Health,medicine order,2,2,2023-02,3
2023-02-01,DENTAL CLINIC #5941,1428.32,Health,dental clinic,2,2,2023-02,3
2023-02-01,FLIPKART PURCHASE #3446,2387.59,Shopping,flipkart purchase,2,2,2023-02,4
2023-02-01,GAMING PURCHASE #2140,297.77,Entertainment,gaming purchase,2,2,2023-02,1
2023-02-02,ZOMATO ORDER #4750,147.73,Food & Dining,zomato order,2,3,2023-02,2
2023-02-02,HOSPITAL BILL #1916,764.24,Health,hospital bill,2,3,2023-02,3
2023-02-03,YOGA CLASS #9897,1734.18,Health,yoga class,2,4,2023-02,3
2023-02-03,BUS PASS #6933,784.22,Transport,bus pass,2,4,2023-02,5
2023-02-03,BIGBASKET ORDER #1601,260.79,Food & Dining,bigbasket order,2,4,2023-02,2
2023-02-03,GAS CYLINDER #3683,1046.97,Bills & Utilities,gas cylinder,2,4,2023-02,0
2023-02-03,RESTAURANT BILL #5877,1318.47,Food & Dining,restaurant bill,2,4,2023-02,2
2023-02-03,HOTSTAR PREMIUM #4483,737.06,Entertainment,hotstar premium,2,4,2023-02,1
2023-02-04,INDIGO AIRLINES #2207,1604.41,Transport,indigo airlines,2,5,2023-02,5
2023-02-04,HOTSTAR PREMIUM #2401,1464.31,Entertainment,hotstar premium,2,5,2023-02,1
2023-02-04,MEESHO ORDER #5641,2164.79,Shopping,meesho order,2,5,2023-02,4
2023-02-06,DTH RECHARGE #5827,1517.12,Bills & Utilities,dth recharge,2,0,2023-02,0
2023-02-06,PHARMACY BILL #2681,1269.98,Health,pharmacy bill,2,0,2023-02,3
2023-02-07,GAS CYLINDER #8111,401.19,Bills & Utilities,gas cylinder,2,1,2023-02,0
2023-02-07,KFC ORDER #3174,347.52,Food & Dining,kfc order,2,1,2023-02,2
2023-02-07,IRCTC TICKET #3880,1869.83,Transport,irctc ticket,2,1,2023-02,5
2023-02-08,INSURANCE PREMIUM #6063,960.23,Bills & Utilities,insurance premium,2,2,2023-02,0
2023-02-08,EYE CLINIC #4804,1651.94,Health,eye clinic,2,2,2023-02,3
2023-02-08,INSURANCE PREMIUM #7012,263.96,Bills & Utilities,insurance premium,2,2,2023-02,0
2023-02-08,PRACTO APPOINTMENT #2911,505.35,Health,practo appointment,2,2,2023-02,3
2023-02-09,UBER TRIP #2942,170.56,Transport,uber trip,2,3,2023-02,5
2023-02-10,GROCERY STORE #7179,1026.82,Food & Dining,grocery store,2,4,2023-02,2
2023-02-10,MOVIE TICKET #3240,979.18,Entertainment,movie ticket,2,4,2023-02,1
2023-02-10,BUS PASS #7713,611.84,Transport,bus pass,2,4,2023-02,5
2023-02-10,GAS CYLINDER #1685,1610.47,Bills & Utilities,gas cylinder,2,4,2023-02,0
2023-02-10,MAINTENANCE FEE #8448,4419.6,Bills & Utilities,maintenance fee,2,4,2023-02,0
2023-02-10,RESTAURANT BILL #9498,829.91,Food & Dining,restaurant bill,2,4,2023-02,2
2023-02-10,BOOKMYSHOW #9043,743.75,Entertainment,bookmyshow,2,4,2023-02,1
2023-02-10,HOSPITAL BILL #3199,906.57,Health,hospital bill,2,4,2023-02,3
2023-02-11,RAPIDO BIKE #9418,265.13,Transport,rapido bike,2,5,2023-02,5
2023-02-11,DOMINOS PIZZA #5984,1248.26,Food & Dining,dominos pizza,2,5,2023-02,2
2023-02-11,DTH RECHARGE #5723,2829.95,Bills & Utilities,dth recharge,2,5,2023-02,0
2023-02-11,SPOTIFY PREMIUM #8187,440.35,Entertainment,spotify premium,2,5,2023-02,1
2023-02-12,DECATHLON SPORTS #9500,2942.28,Shopping,decathlon sports,2,6,2023-02,4
2023-02-12,GROCERY STORE #2983,1204.53,Food & Dining,grocery store,2,6,2023-02,2
2023-02-12,LAB TEST #3641,789.93,Health,lab test,2,6,2023-02,3
2023-02-13,HOSPITAL BILL #2562,2694.89,Health,hospital bill,2,0,2023-02,3
2023-02-13,MYNTRA FASHION #2717,3743.56,Shopping,myntra fashion,2,0,2023-02,4
2023-02-13,ZOMATO ORDER #6558,131.28,Food & Dining,zomato order,2,0,2023-02,2
2023-02-13,DISNEY PLUS #6802,199.98,Entertainment,disney plus,2,0,2023-02,1
2023-02-13,UBER TRIP #5331,757.79,Transport,uber trip,2,0,2023-02,5
2023-02-14,EYE CLINIC #3712,2191.43,Health,eye clinic,2,1,2023-02,3
2023-02-14,MEDICINE ORDER #9151,611.34,Health,medicine order,2,1,2023-02,3
2023-02-14,MOBILE RECHARGE #1095,1714.19,Bills & Utilities,mobile recharge,2,1,2023-02,0
2023-02-14,PRACTO APPOINTMENT #9553,1319.98,Health,practo appointment,2,1,2023-02,3
2023-02-14,SWIGGY DELIVERY #9572,1005.39,Food & Dining,swiggy delivery,2,1,2023-02,2
2023-02-14,INSURANCE PREMIUM #4629,4732.54,Bills & Utilities,insurance premium,2,1,2023-02,0
2023-02-14,MAINTENANCE FEE #6922,2634.56,Bills & Utilities,maintenance fee,2,1,2023-02,0
2023-02-15,UBER TRIP #3750,1456.3,Transport,uber trip,2,2,2023-02,5
2023-02-15,MAINTENANCE FEE #6225,429.15,Bills & Utilities,maintenance fee,2,2,2023-02,0
2023-02-15,HOSPITAL BILL #3725,1976.3,Health,hospital bill,2,2,2023-02,3
2023-02-15,SWIGGY DELIVERY #9970,555.54,Food & Dining,swiggy delivery,2,2,2023-02,2
2023-02-15,SPOTIFY PREMIUM #1083,684.3,Entertainment,spotify premium,2,2,2023-02,1
2023-02-16,DISNEY PLUS #7125,1082.64,Entertainment,disney plus,2,3,2023-02,1
2023-02-16,INTERNET BILL #7478,1761.09,Bills & Utilities,internet bill,2,3,2023-02,0
2023-02-16,MEESHO ORDER #7073,2640.79,Shopping,meesho order,2,3,2023-02,4
2023-02-16,NETFLIX SUBSCRIPTION #2036,1158.1,Entertainment,netflix subscription,2,3,2023-02,1
2023-02-16,RELIANCE TRENDS #2006,419.55,Shopping,reliance trends,2,3,2023-02,4
2023-02-16,WATER BILL #2556,4271.1,Bills & Utilities,water bill,2,3,2023-02,0
2023-02-16,KFC ORDER #6249,632.61,Food & Dining,kfc order,2,3,2023-02,2
2023-02-17,MCDONALD'S #2426,533.27,Food & Dining,mcdonalds,2,4,2023-02,2
2023-02-17,GAS CYLINDER #5906,4526.78,Bills & Utilities,gas cylinder,2,4,2023-02,0
2023-02-18,NYKAA COSMETICS #9314,2964.89,Shopping,nykaa cosmetics,2,5,2023-02,4
2023-02-18,AMAZON ORDER #4131,2431.66,Shopping,amazon order,2,5,2023-02,4
2023-02-18,BOOKMYSHOW #8972,519.35,Entertainment,bookmyshow,2,5,2023-02,1
2023-02-18,AUTO RICKSHAW #5712,1395.08,Transport,auto rickshaw,2,5,2023-02,5
2023-02-18,PRACTO APPOINTMENT #5046,1027.54,Health,practo appointment,2,5,2023-02,3
2023-02-19,NETFLIX SUBSCRIPTION #2217,1423.21,Entertainment,netflix subscription,2,6,2023-02,1
2023-02-19,NETFLIX SUBSCRIPTION #8314,936.5,Entertainment,netflix subscription,2,6,2023-02,1
2023-02-19,APPLE MUSIC #1796,931.09,Entertainment,apple music,2,6,2023-02,1
2023-02-20,GAMING PURCHASE #9456,1170.99,Entertainment,gaming purchase,2,0,2023-02,1
2023-02-20,DOCTOR CONSULTATION #5670,179.61,Health,doctor consultation,2,0,2023-02,3
2023-02-20,YOGA CLASS #5872,788.89,Health,yoga class,2,0,2023-02,3
2023-02-20,CAFE COFFEE DAY #6431,1051.24,Food & Dining,cafe coffee day,2,0,2023-02,2
